#,German,English,Srpski
495,das Ei; -er,the egg,јаје
496,wählen,"to pick, choose, vote, dial, elect ('w...')","да бирате, изаберите, гласате, бирајте, изаберите ('В ...')"
497,der Osten,the east (no plural),Исток (без множине)
498,der Alkohol,the alcohol (no plural),алкохол (без множине)
499,die Erklärung; -en,"the explanation, clarification, declaration","Објашњење, појашњење, декларација"
500,der Bürgermeister; -,the mayor,Градоначелник
501,reinkommen,to come in ('r_'),доћи у ('р_')
502,verändern,"to alter, change, modify, diversify ('v...')","Да бисте изменили, променили, модификују, диверзифифифи ('в ...')"
503,behandeln,"to treat, approach (sth), treat (sb/sth)","за лечење, приступ (стх), лечење (сб / стх)"
504,kontrollieren,"to check, examine, control, monitor ('k'_)","Да бисте проверили, испитали, контролирали, монитор ('к'_)"
505,Kalifornien,California,Калифорнија
506,gebrauchen,to use ('g_'),да се користи ('г_')
507,der Schnee,the snow (no plural),снег (без множине)
508,verfolgen,"to pursue, follow, track","да настави, следи, пратите"
509,die Zahl; -en,the number ('Z_'),Број ('з_')
510,jederzeit,(at) any time,(у свако доба
511,das Pech; -e,"bad luck, coal-tar pitch","лоша срећа, топ угља-катрана"
512,die Botschaft; -en,"the message, embassy","Порука, Амбасада"
513,der Stoff; -e,the material ('Material' or ...),"материјал ('материјал ""или ...)"
514,"die Mitternacht; -""e",the midnight,поноћ
515,enthalten,"to contain, comprise, hold, include (not 'b...')","да садрже, садрже, садрже, укључују (не 'б ...')"
516,Mexiko,Mexico,Мексико
517,auseinander,separated (not 'getrennt'),раздвојен (не 'гетреннт')
518,das Verfahren; -,"the procedure, method, process, lawsuit","Поступак, метода, процес, тужба"
519,die Sendung; -en,"the consignment, program (TV), broadcast","Пошиљка, програм (ТВ), емитовање"
520,packen,to pack ('p_'),да се пакује ('п_')
521,die Heimat; -en,"the home country, the home town","матична земља, домаћи град"
522,hingehen,to go (there),да идем тамо)
523,verwirrt,confused,збуњен
524,die Linie; -n,"the line (Zeile, Leitung, Warteschlange, or ...)","линија (Зеиле, Летунг, Вартесцхланге, или ...)"
525,französisch,French (adj.),Француски (адј.)
526,der Scheck; -s,the check (to pay bills),чек (за плаћање рачуна)
527,fressen,to eat (of animals),јести (животиња)
528,ausgezeichnet,excellent,одличан
529,die Jacke; -n,the jacket,јакна
530,hungrig,hungry,гладан
531,die Kleidung; -en,the clothing,Одећа
532,aufgeregt,"excited (begeistert, erregt, or ...)","узбуђен (бегеистерт, еррегт, или ...)"
533,getrennt,separated (auseinander or ...),раздвојен (аусеинандер или ...)
534,die Absicht; -en,"the purpose, intention, aim, intent ('A'_)","Сврха, намера, циљ, намера ('А'_)"
535,die Aussage; -n,"the statement, assertion, testimony ('Au_')","Изјава, тврдња, сведочење ('ау_')"
536,das Feld; -er,the field,поље
537,schief,"crooked, lopsided (not 'krumm')","Криво, лопови (не 'Крумм')"
538,die Mühe; -n,"the effort, toil, hassle, trouble ('Anstrengung' or ...)","труд, напор, гњаважу, проблеми ('анстронг ""или ...)"
539,interessieren,to interest,занимати
540,selten,seldom,ретко
541,grün,green,зелен
542,das Prozent; -e,the percent,проценат
543,"die Kuh; -""e",the cow,крава
544,der Spieler; -,the player,играч
545,gebraucht,second hand,половно из друге руке
546,der Fernseher; -,the television set,телевизор сет
547,die Erlaubnis; -se,the permission,дозвола
548,die Bedeutung; -en,"the meaning, the sense (Sinn, or ...)","значење, смисао (синн или ...)"
549,irgendein,"any; of some sort (irgendwelche, ... )","било који; нека врста (иргенделцхе, ...)"
550,die Hütte; -n,the hut,колиба
551,enttäuscht,disappointed,разочаран
552,die Brille; -n,the eyeglasses,наочаре
553,stoppen,to stop; to halt; to time (sth. or so.),да се заустави; да заустави; на време (стх. или тако нешто)
554,"der Eindruck; -""e",the impression,утисак
555,anziehen,"to attract, to tighten, to dress","да привуку, затегните, обући се"
556,"die Not; -""e","the need, the distress","потреба, невоље"
557,der Stil; -e,the style,стил
558,das Schlafzimmer; -,the bedroom,спаваћа соба
559,fein,"subtle, fine, finely, delicate, dainty","суптилно, фино, фино, деликатно, даитно"
560,"das Gras; -""er",the grass,трава
561,fehlen,"to lack, be missing (mangeln, or ...)","Недостатак, недостаје (Мангелн или ...)"
562,"der Strom; -""e",the electricity current,струја струје
563,merkwürdig,"odd, peculiar, strange ('seltsam' or ...)","непаран, осебујан, чудан ('селтсам' или ...)"
564,der Titel; -,the title,Наслов
565,spazieren gehen,to go for a walk (2 words),ићи у шетњу (2 речи)
566,dicht,dense,густ
567,die Geburt; -en,the birth,рођење
568,geheim,"secret, confidential, classified","Тајна, поверљива, класификована"
569,das Universum; die Universen,the universe (U-),Универзум (У-)
570,die Politik,the politics (no plural),политика (без множине)
571,der Müll,"The garbage, trash, rubbish, refuse (not 'A..')","Смеће, смеће, смеће, одбијају (не 'а ..')"
572,riskieren,to risk ('r_'),да ризикује ('р_')
573,anfassen,"to grab, touch, grasp, handle, tackle (a problem) ('a_')","ухватити, додирнути, схватити, руковати, придржавати се (проблем) ('а_')"
574,der Staub,the dust (no plural),прашина (без множине)
575,der Narr; -en; -en,"the fool, idiot, dummy, clown ('N_')","Будала, идиот, лутка, кловн ('н_')"
576,"der Vorschlag; -""e",the suggestion,предлог
577,das Klo; -s,"the toilet, bathroom, restroom, loo (German slang for ""Toilette"")","тоалет, купатило, тоалет, лоо (немачки сленг за ""тоалета"")"
578,das Werk; -e,"the work (of art, etc.)",дело (уметности итд.)
579,raten,"to guess, to advise",Претпостављам да саветујем
580,"der Hof; -""e",courtyard,двориште
581,der Opa; -s,the grandpa,деда
582,der Künstler; -,the male artist,Мушки уметник
583,begleiten,to accompany,да прате
584,der Kaiser; -,the emperor,цар
585,verpassen,to miss something scheduled,да пропусти нешто заказано
586,"der Kauf; -""e",the purchase,куповина
587,beobachten,"to watch, to observe","да гледам, посматрати"
588,das Projekt; -e,the project,пројекат
589,weiterhin,"furthermore, beyond, further on (außerdem, zusätzlich, or ...)","Поред тога, даље, даље (Ауßердем, Зусатзлицх, или ...)"
590,trennen,to separate,да се раздвоје
591,probieren,to try ('versuchen' or ...),да испробам ('версуцхен' или ...)
592,spitze,great ('s_'),Греат ('С_')
593,die Spitze; -n,the lace,чипка
594,das Benzin,"the gasoline, gas, petrol (no plural)","Бензин, гас, бензин (без множине)"
595,Deutschland,Germany,Немачка
596,zuhören,"to listen, to listen to (not 'a...')","да слушам, слушам (не 'а ...'))"
597,der Bürger; -,the citizen,грађанин
598,"der Dummkopf; -""e","dumb person, idiot ('Du_')","Глупа особа, идиот (""ду_ ')"
599,gemein,"mean, nasty, cruel","значи, гадно, окрутно"
600,das Holz,the wood (no plural),дрво (без множине)
601,der Dienstag; -e,the Tuesday,у уторак
602,gucken,to look ('g_'),да изгледа ('г_')
603,der Mittag; -e,the noon,подне
604,die Fabrik; -en,the factory,Фабрика
605,die Leiter; -n,the ladder,мердевине
606,der Leiter; -,"the leader, the manager","Вођа, менаџер"
607,die Leiter; -n,the ladder,мердевине
608,die Schlange; -n,the snake,змија
609,der Zucker,the sugar (no plural),шећер (без множине)
610,dienen,"to serve, to be used as","да служе, да се користи као"
611,zuletzt,"last, recently, finally, lastly (z_)","Последње, недавно, коначно, на крају (з_)"
612,heutzutage,nowadays,данас
613,dahinter,"behind it, behind that",иза тога иза тога
614,der Wissenschaftler; -,the academic,академик
615,genießen,to enjoy,уживати
616,fliehen,to flee,бежати
617,festhalten,"to seize, to adhere, cling to, hold on tight","да се одузме, придржавајући се, држите се, чврсто се држите"
